"names","values","std"
"sample_size",10000.0,0.0
"x_min",0.7,0.0
"x_max",7.057,0.42001803713073027
"x_range",6.357,0.42001803713073027
"score_25",2.144,0.04988876515698593
"score_50",3.645,0.07961396760860392
"score_75",5.115,0.1217506974240079
"avg",2.3900062,0.010536199723147836
"sample_std",0.9305292069889672,0.007544983783065563
"CV",0.3893404267049852,0.002448199984133714
"3rd_moment",0.7149009292179739,0.02902574245459096
"4th_moment",2.6035170464050754,0.1142462412988549
"skewness",0.8869893890581266,0.02526654522035237
"kurtosis",3.4709707260139906,0.09703220941771891
"kurtosis_normal",0.4709707260139907,0.09703220941771891
