#ln_dLdx_f^2*Q20%_A2.9851B-1.91661_MCSS1701755772_DATA.csv
#"x","frequencies","std"
0.7,1.0,0.0
0.8,1.0,0.0
0.9,1.0,0.0
1.0,1.0,0.0
1.1,1.0,0.0
1.2,1.0625,0.25
1.3,1.08,0.27688746209726917
1.4,1.037037037037037,0.19245008972987526
1.5,1.2258064516129032,0.4973045625740722
1.6,1.3421052631578947,0.6688560540599386
1.7,1.2,0.4572645941803379
1.8,1.2333333333333334,0.4645634607236648
1.9,1.4385964912280702,0.7075496918351672
2.0,1.55,0.7461766955734742
2.1,1.9540229885057472,1.1803433278323756
2.2,2.3658536585365857,1.2522788621909073
2.3,2.670212765957447,1.386480791970067
2.4,3.216494845360825,1.7213536589684253
2.5,3.85,1.7716909687891083
2.6,5.76,2.4499845392214707
2.7,7.29,2.667783856887718
2.8,10.3,2.754243741185334
2.9,14.57,3.610464588588918
3.0,22.23,4.1775131551697315
3.1,33.25,6.352244493170119
3.2,56.59,7.163452415215062
3.3,96.82,9.86103442849684
3.4,175.22,13.810097316050596
3.5,315.05,17.550144607882174
3.6,559.54,21.30794891275758
3.7,949.52,30.36960202690722
3.8,1304.21,33.68160334723399
3.9,1494.25,33.09532451949225
4.0,1506.62,32.62173161770193
4.1,1289.35,30.8650942069523
4.2,849.28,27.40385580773832
4.3,498.31,19.590605355164964
4.4,285.92,14.410770382956736
4.5,168.8,13.531108937958821
4.6,104.35,11.136775914858742
4.7,65.66,7.257486556040673
4.8,45.05,6.754534578617344
4.9,30.619999999999997,6.157495227342647
5.0,21.91,5.1680740996032455
5.1,16.43,3.6934421819645626
5.2,11.65,3.671828322828184
5.3,9.07,2.836468853267308
5.4,7.32,2.740935474017452
5.5,5.212121212121212,2.177213756216817
5.6,4.49,1.946221410266
5.7,3.463917525773196,1.7563091963339335
5.8,3.10989010989011,1.5235233247716693
5.9,2.3666666666666667,1.2402428178348832
6.0,2.1232876712328768,1.2012170388523566
6.1,1.858974358974359,0.9632784788966418
6.2,1.7846153846153845,1.0531546018437252
6.3,1.6603773584905661,0.8072602341446962
6.4,1.3333333333333333,0.5887840577551897
6.5,1.3181818181818181,0.6741998624632421
6.6,1.2195121951219512,0.47498395351586453
6.7,1.1842105263157894,0.39285945206319167
6.8,1.4074074074074074,0.7472647177570733
6.9,1.1111111111111112,0.3233808333817773
7.0,1.1428571428571428,0.3585685828003181
7.1,1.0,0.0
7.2,1.125,0.3415650255319866
7.3,1.0,0.0
7.4,1.0,0.0
7.5,1.0,0.0
7.6,1.0,0.0
7.7,1.0,0.0
7.8,1.0,0.0
7.9,1.0,0.0
8.0,1.0,0.0
8.1,1.0,0.0
8.3,1.0,0.0
8.4,1.0,0.0
8.5,1.0,0.0
8.7,1.0,0.0
8.9,1.0,0.0
9.4,1.0,0.0
