"names","values","std"
"sample_size",10000.0,0.0
"x_min",1.299,0.3033466530542111
"x_max",7.357,0.7003974340733736
"x_range",6.058,0.7883213209412169
"score_25",2.894,0.15163752633810468
"score_50",4.138,0.1426870560338112
"score_75",5.356,0.16100693253159107
"avg",3.9269368,0.0040036972508879715
"sample_std",0.36069769718963085,0.005215628427746016
"CV",0.09185212842165628,0.001321071082724387
"3rd_moment",0.017735298820348577,0.008053850870059848
"4th_moment",0.15437464257215147,0.031676696667145544
"skewness",0.37518886248901473,0.1618638344673734
"kurtosis",9.064133760053076,1.4990537001134203
"kurtosis_normal",6.064133760053077,1.4990537001134203
